City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
523,tawau,4.2498,117.8871,28.07,76,7,2.69,MY,1713695185
524,puerto aysen,-45.4,-72.7,0.57,98,43,0.09,CL,1713695228
525,altay,47.8667,88.1167,19.3,27,8,2.32,CN,1713695228
526,sinan,34.8262,126.1086,16.06,89,100,2.44,KR,1713695143
527,nadi,-17.8,177.4167,26.0,83,75,1.54,FJ,1713695229
528,ankpa,7.3706,7.6253,32.36,54,85,4.08,NG,1713695229
529,athens,37.9795,23.7162,21.99,39,0,4.63,GR,1713694576
530,ust'-ilimsk,58.0006,102.6619,2.47,93,100,1.34,RU,1713695229
531,nemuro,43.3236,145.575,2.94,90,100,5.6,JP,1713695229
532,guidel-plage,47.7677,-3.5218,12.84,54,40,6.69,FR,1713695230
533,zelenoborskiy,66.845,32.3622,-3.79,69,99,4.23,RU,1713695230
534,kachug,53.9606,105.8817,7.81,75,100,4.92,RU,1713695230
535,hasaki,35.7333,140.8333,17.38,72,100,5.63,JP,1713695230
536,tranqueras,-31.2,-55.75,13.65,91,55,0.98,UY,1713695231
537,hailey,43.5196,-114.3153,6.29,65,75,4.63,US,1713695231
538,sandnessjoen,66.0217,12.6316,6.06,39,0,3.6,NO,1713695232
539,ngaoundere,7.3167,13.5833,27.94,69,20,3.6,CM,1713695233
540,quellon,-43.1167,-73.6167,5.59,83,2,2.62,CL,1713695233
541,slavgorod,52.9978,78.6449,20.62,36,17,3.48,RU,1713695233
542,coahuayana de hidalgo,18.7,-103.6583,20.47,73,0,0.9,MX,1713695234
543,guerrero negro,27.9769,-114.0611,14.66,87,68,4.35,MX,1713695235
544,labrador city,52.9463,-66.9114,-3.05,80,75,3.09,CA,1713695235
545,kapshagay,43.8833,77.0833,23.91,29,0,0.93,KZ,1713695235
546,panacan,9.2463,118.4082,29.13,69,28,3.24,PH,1713695235
547,talcahuano,-36.7167,-73.1167,8.82,87,0,0.0,CL,1713695236
548,hobyo,5.3505,48.5268,30.97,65,100,3.69,SO,1713695236
549,aketi,2.7388,23.7833,31.35,49,58,3.15,CD,1713695114
550,belaya kalitva,48.17,40.78,21.95,52,100,6.23,RU,1713695236
551,guozhen,34.3659,107.359,24.88,42,39,3.16,CN,1713695237
552,ulladulla,-35.35,150.4667,11.54,85,36,1.0,AU,1713695238
553,nadym,65.5333,72.5167,-4.46,80,100,0.87,RU,1713695238
554,raduzhny,62.0961,77.475,-1.12,94,100,2.18,RU,1713695239
555,zabol,32.25,67.25,17.14,32,51,3.6,AF,1713695239
556,palu,-0.8917,119.8707,27.01,93,98,0.67,ID,1713695239
557,fairmont,39.4851,-80.1426,4.05,78,36,1.12,US,1713695239
558,bulayevo,54.9056,70.4439,25.04,43,10,5.77,KZ,1713695240
559,zhongshu,24.5167,103.7667,22.99,44,76,2.83,CN,1713695240
560,sarakhs,36.5449,61.1577,31.53,14,1,2.85,IR,1713695240
561,bandarbeyla,9.4942,50.8122,30.73,62,100,4.78,SO,1713695240
562,salym,60.0625,71.4789,6.0,88,99,4.1,RU,1713695241
563,lubao,14.9167,120.55,33.84,39,64,3.41,PH,1713695242
564,cam ranh,11.9214,109.1591,30.98,51,0,4.63,VN,1713695038
565,tommot,58.9564,126.2925,3.25,94,95,2.86,RU,1713695242
566,lata,40.1629,-8.3327,22.82,41,0,2.37,PT,1713695242
567,black river,18.0264,-77.8487,22.72,83,0,2.18,JM,1713695243
568,coruripe,-10.1256,-36.1756,26.18,86,97,1.6,BR,1713695243
569,rmi capitol,7.0893,171.3805,28.97,79,40,5.14,MH,1713695243
570,port isabel,26.0734,-97.2086,25.01,92,100,7.15,US,1713695243
571,mossel bay,-34.1831,22.146,26.96,82,45,4.6,ZA,1713695244
572,gummi,12.1436,5.1081,37.73,33,65,7.3,NG,1713695244
573,coyhaique,-45.5752,-72.0662,-0.03,86,0,2.06,CL,1713695244
574,loango,-4.6719,11.8312,30.81,74,40,2.57,CG,1713695244
575,boguchar,49.9358,40.545,25.0,37,100,8.92,RU,1713695245
576,childress,34.4264,-100.204,8.14,61,100,2.57,US,1713694689
